[00:00:00 --> 00:00:02]  Все поехали.
[00:00:02 --> 00:00:06]  Начнавить еще раз вы скажу, как у нас выглядит работа
[00:00:06 --> 00:00:09]  по нелю управления, самый простой вариант.
[00:00:09 --> 00:00:14]  Вот когда у нас нет регулировки скорости обдува, когда у нас базовая
[00:00:14 --> 00:00:17]  комплектация за 15 сенсорной панели.
[00:00:17 --> 00:00:21]  Значит, с левом нас всегда отображается текущей параметра работы системы.
[00:00:21 --> 00:00:27]  То есть, какие процессы и какая температура у нас камеры на данный момент.
[00:00:27 --> 00:00:31]  Здесь мы видим температуру в камере 38 градусов у нас сейчас.
[00:00:31 --> 00:00:35]  Мы сейчас только что закончили копчение и пока на еще у нас теплая.
[00:00:35 --> 00:00:39]  Это температура продукту у нас 24 градусов.
[00:00:39 --> 00:00:40]  Вот.
[00:00:40 --> 00:00:41]  Это влажность.
[00:00:41 --> 00:00:45]  Штет один процент, оставшиеся улажность и время.
[00:00:45 --> 00:00:48]  Значит, мы, если перейдем в рышную режим, выврышном режиме,
[00:00:48 --> 00:00:50]  как раз все эти параметровожим задавать.
[00:00:50 --> 00:00:52]  То есть, слева у нас текущей параметра камеры.
[00:00:52 --> 00:00:56]  В правом у нас параметре, которым мы стрениемся.
[00:00:56 --> 00:00:59]  В рышном режиме каждую зайти к параметрах мы можем изменять.
[00:00:59 --> 00:01:01]  Где у нас карандашек есть, там можем нажать.
[00:01:01 --> 00:01:05]  На температуру в камере мы будем 50 градусов.
[00:01:05 --> 00:01:09]  Или температуру продукта, мы таким на 360 градусов.
[00:01:09 --> 00:01:11]  То же все это можно задать.
[00:01:11 --> 00:01:13]  Сейчас здесь мы влажность задаем 100 процентов.
[00:01:13 --> 00:01:15]  Здесь мы задаем время.
[00:01:15 --> 00:01:16]  Вот.
[00:01:16 --> 00:01:21]  Значит, рышной режиме мы будем для того, чтобы отладить.
[00:01:21 --> 00:01:26]  Нам работа программы на кем образом, как мы хотим, чтобы она выглядела в том,
[00:01:26 --> 00:01:27]  в том, отеческом режиме.
[00:01:27 --> 00:01:30]  Соответственно, мы, когда копки в рышном режиме, мы каждую этап,
[00:01:30 --> 00:01:32]  каждый шаг годим рышную.
[00:01:32 --> 00:01:38]  Вот, первый этап на сушка, просушили подниме, что двигатим на нам достаточно при 45 градусов.
[00:01:38 --> 00:01:41]  Пониме, потом уже объиваем в том, отеческом режиме все это хозяйство.
[00:01:41 --> 00:01:44]  Значит, еще раз здесь у нас текущие параметры,
[00:01:44 --> 00:01:47]  здесь те параметры, которым мы стримимся.
[00:01:47 --> 00:01:53]  И любое, любое программу, копчение выглядит следующий образом.
[00:01:53 --> 00:01:55]  То есть, любое программу стоит из шагов.
[00:01:55 --> 00:01:58]  Первый, второй, это ведь 4-5 шаг, например.
[00:01:58 --> 00:02:02]  И каждый шаг, он состоит из двух групп параметров.
[00:02:02 --> 00:02:06]  Первое группа параметры, в голове коптильни, как я работать.
[00:02:06 --> 00:02:09]  Сколько мы кремени, какую влажность поддерживать какую температуру?
[00:02:09 --> 00:02:11]  Это первое группа параметров.
[00:02:11 --> 00:02:15]  А второе группа параметров, это как же нам перейти на следующий шаг?
[00:02:15 --> 00:02:18]  Это условия перехода на следующий шаг.
[00:02:18 --> 00:02:21]  То есть, каждый шаг, этот две группы параметров, первое говорит о том,
[00:02:21 --> 00:02:24]  с какими параметры мы на шаге работаем,
[00:02:24 --> 00:02:29]  а второе группа параметров по какому признаку мы переходим на следующий шаг.
[00:02:29 --> 00:02:31]  И из таких шагов уже создаются на с программом.
[00:02:31 --> 00:02:37]  На каждом шаге программа знает, как и условия поддерживать the work of the camera
[00:02:37 --> 00:02:39]  и по каким условиям перейти же на следующий шаг.
[00:02:39 --> 00:02:40]  Понимаете?
[00:02:40 --> 00:02:43]  Соответственно, если у нас дальше в шагов нет, он при опять шаг.
[00:02:43 --> 00:02:46]  В следующий у меня нет, то программа заканчивается в работу,
[00:02:46 --> 00:02:47]  раздаётся в будине, в валочем взау.
[00:02:47 --> 00:02:52]  Значит, что такое условие перехода?
[00:02:52 --> 00:02:57]  Здесь мы видим вот такие вот кружочки, как мишень, вид мишень,
[00:02:57 --> 00:02:59]  если мы видим мишень.
[00:02:59 --> 00:03:01]  Вот такой сервозначек потенциально,
[00:03:01 --> 00:03:04]  это условия может быть условиям перейхода.
[00:03:04 --> 00:03:09]  Если мы видим вот такой сервис,
[00:03:09 --> 00:03:15]  кружочий сервень кумешень и она стоит галочка внутри.
[00:03:15 --> 00:03:18]  Это значит, что если этот параметр введён,
[00:03:18 --> 00:03:20]  мы можем вообще его убрать, и видите, он попадает.
[00:03:20 --> 00:03:23]  Но если мы этот параметр вводим,
[00:03:23 --> 00:03:27]  он у нас будет всегда условиям перейхода на следующий шаг.
[00:03:27 --> 00:03:30]  Если у нас вообще введён, то же самое салремение.
[00:03:30 --> 00:03:33]  Если вообще мы время вводим, например, мы хотим шесть минут.
[00:03:33 --> 00:03:35]  То есть условия перехода.
[00:03:35 --> 00:03:36]  Понимаете, всё.
[00:03:36 --> 00:03:40]  Или мы выбираем это вообще не уляться условиям перейхода.
[00:03:40 --> 00:03:44]  Температура в камере может являться условиям перейхода.
[00:03:44 --> 00:03:46]  А может и не являться условиям перейхода.
[00:03:46 --> 00:03:49]  Вот таким вот образом, он сменяет спирать.
[00:03:49 --> 00:03:54]  Соответственно, условия перехода есть еще один вид.
[00:03:54 --> 00:03:57]  Это когда условия перехода выполнена.
[00:03:57 --> 00:03:59]  Например, если мы здесь выберем 10 грабус,
[00:03:59 --> 00:04:01]  мы хотим шкаем в камере, были 10 грабусы.
[00:04:01 --> 00:04:04]  То уже и видим, что условия перейхода выполнена.
[00:04:04 --> 00:04:05]  Оно загарается зелёным.
[00:04:05 --> 00:04:08]  Видите, соответственно, если мы ставим на 1.40,
[00:04:08 --> 00:04:11]  условия перейхода, то оно не выполнена.
[00:04:11 --> 00:04:14]  Но является условиям перейхода.
[00:04:14 --> 00:04:17]  И вляется условиям, окончания данного шага.
[00:04:17 --> 00:04:22]  Если мы нажимаем кнопочку, то оно не является условиям перейхода,
[00:04:22 --> 00:04:24]  но условиям перейхода может быть.
[00:04:24 --> 00:04:28]  И в этом в этой системе управления первой системы
[00:04:28 --> 00:04:31]  управления, которые позволяет перейходить на следующий шаг,
[00:04:31 --> 00:04:33]  сразу несколько параметра.
[00:04:33 --> 00:04:36]  То есть мы хотим, чтобы и температура в камере, например,
[00:04:36 --> 00:04:37]  была 50 грабусов.
[00:04:37 --> 00:04:39]  Вот так вот не выбираем.
[00:04:39 --> 00:04:41]  И хотим, чтобы времени прошло 30 минут.
[00:04:41 --> 00:04:43]  И у нас получается есть три условия перейхода.
[00:04:43 --> 00:04:46]  И только когда все три условия будет выполнена,
[00:04:46 --> 00:04:48]  программы перейдёт на следующий этап.
[00:04:48 --> 00:04:49]  Понимаете, да?
[00:04:49 --> 00:04:52]  Вот собственно, все про продамирование базовое
[00:04:52 --> 00:04:54]  продамирование токонтрольга.
[00:04:54 --> 00:04:57]  Что еще хочу сказать, значит, температуру в камере,
[00:04:57 --> 00:05:00]  температуру продукты, время мы задаем стандартно,
[00:05:00 --> 00:05:02]  просто задаем значение.
[00:05:02 --> 00:05:05]  Влажность у нас есть возможность затать следующий образом.
[00:05:05 --> 00:05:08]  Значит, влажность мы нажимаем.
[00:05:08 --> 00:05:11]  И либо мы, если вы найдете два пара, мы этого нас
[00:05:11 --> 00:05:16]  ну, ли вы и ставим на тревён влажность, то камера автоматически
[00:05:16 --> 00:05:20]  будет подбирать параметры импульса и паузы подачивали
[00:05:20 --> 00:05:23]  в камеру, с помощью вот этих вот настроек, да?
[00:05:23 --> 00:05:28]  Вот, то есть чем большим делаем импульс, и чем меньше
[00:05:28 --> 00:05:31]  мы делаем паузу, тем большим воды у нас подается,
[00:05:31 --> 00:05:34]  и чем меньше мы делаем импульса, например,
[00:05:34 --> 00:05:36]  два мига и библипульса, чем больше делаем паузу.
[00:05:37 --> 00:05:42]  Вот в этом случае, у нас меньше воды подается.
[00:05:42 --> 00:05:44]  Таким образом, можем подстроить подачу воды
[00:05:44 --> 00:05:47]  в автоматического режим и под конкретное давление
[00:05:47 --> 00:05:48]  в воды в системе, понимаете?
[00:05:48 --> 00:05:51]  И оптимальное подача воды в системе будет
[00:05:51 --> 00:05:56]  когда маленькая маленькая стручка на этой опеварке, у вас стекает через правый крайне.
[00:05:56 --> 00:06:01]  Чтобы мы не много воды теряяяя, чтобы у нас немного небольшая подальчика,
[00:06:01 --> 00:06:05]  чтобы совершенно небольшую количество воды на этой проватке мысливали,
[00:06:05 --> 00:06:10]  это товлада, которая обратно конденсируется на ее конденсируется немного.
[00:06:10 --> 00:06:14]  За все время варки зачастливаются, может быть, два треих громадсевым.
[00:06:14 --> 00:06:16]  Это очень хорошая показать.
[00:06:16 --> 00:06:17]  Вот.
[00:06:17 --> 00:06:21]  И это первое вариантов, автоматическое настройки влажности.
[00:06:21 --> 00:06:23]  И ручной способ настройки влажности.
[00:06:23 --> 00:06:28]  К тому ручную говорю, программа, дай нам не просто им больше одну секунду,
[00:06:28 --> 00:06:30]  а ползумежные, пусть сами 5 секунд.
[00:06:30 --> 00:06:33]  И она постоянно будет не зависимости от температуры,
[00:06:33 --> 00:06:36]  постоянно лить вода и в нас такими периодами.
[00:06:36 --> 00:06:41]  Это особенно важно, например, когда мы делаем какую-то паровидию продукцию,
[00:06:41 --> 00:06:44]  то, с запеченную пародацию, при температуре выше 100 градусов,
[00:06:44 --> 00:06:46]  например, при 150-120 градусов.
[00:06:46 --> 00:06:50]  Тогда, понятие относительные влажности, практически роли не играют,
[00:06:50 --> 00:06:57]  потому что относительно облажность этот параметр играет роль только при температуре до 100 градусов цельсия.
[00:06:57 --> 00:06:59]  Но там мы можем сделать хитры вариант.
[00:06:59 --> 00:07:03]  Также оставая важность 100 время к имбульсу делаем одну секунду.
[00:07:03 --> 00:07:06]  А, время я ползумно, например, делаем 99 секунд.
[00:07:06 --> 00:07:11]  И она, когда будет одну секунду, еще всего, подливать воду, раз в 99 секунды.
[00:07:11 --> 00:07:14]  В этом случае, например, если мы хотим, что именно запеченный,
[00:07:14 --> 00:07:16]  они варим на кобченный продукт, получился в этом случае,
[00:07:16 --> 00:07:20]  мы предохраняем корпот, потому что бы она сгорелана в высоких температурах.
[00:07:20 --> 00:07:22]  Мы, как и, например, густя готовят горячем,
[00:07:22 --> 00:07:25]  в общем, кобчение или утку, это очень важно,
[00:07:25 --> 00:07:30]  певиодичности, например, хорошие хозяйки, которые умеют готовить для спустя.
[00:07:30 --> 00:07:33]  Они прилические открывают духовку и спрыскивают.
[00:07:33 --> 00:07:37]  Специально по левизатрам, как раз для того, чтобы получилась хрустящая корочка на густе,
[00:07:37 --> 00:07:38]  они сгоревшие.
[00:07:38 --> 00:07:39]  Понимаете?
[00:07:39 --> 00:07:41]  И здесь мы можем это делать в автоматическом режиме.
[00:07:41 --> 00:07:44]  Мы одну секунду даем, где он съесть вкупозли,
[00:07:44 --> 00:07:47]  бы мы это делаем 60, а до 60, а до 60.
[00:07:47 --> 00:07:50]  То есть мы это подбираем под продукт и запекание.
[00:07:50 --> 00:07:51]  Вот.
[00:07:51 --> 00:07:56]  Значит, это все у нас прогокручной режим, никакому все это дело делают.
[00:07:56 --> 00:07:58]  Как я вам говорил, значит, стандартная программа.
[00:07:58 --> 00:08:02]  Мы, примерно 50 минут, слушаем на температуре 45 градусов.
