[00:00:00 --> 00:00:06]  Здравствуйте, друзья!
[00:00:06 --> 00:00:09]  Сейчас мы находимся в двух стакиламетрах от Санкт-Петербурга,
[00:00:09 --> 00:00:13]  и подъезжаем к мистечку, который называется Каса Дэкарна, Дом Мяса.
[00:00:13 --> 00:00:16]  Находятся на редко мы с ГДОВА,
[00:00:16 --> 00:00:24]  там наш клиент, открыли в производство смягозином из Кафе.
[00:00:24 --> 00:00:30]  Это мистечка имеет пять звезд на яндах с картах.
[00:00:30 --> 00:00:36]  Тут, а если посмотреть люди заезжают туда, даже когда им совершенно не попути,
[00:00:36 --> 00:00:40]  а потому что они готовят совершенно потрясающие продукты,
[00:00:40 --> 00:00:44]  классные бургеры, классные колбасы,
[00:00:44 --> 00:00:48]  мы к нему приедем, и я надеюсь, они с нами поделятся секретами,
[00:00:48 --> 00:00:53]  успеха своего бизнеса, а также расскажут про самые интересные
[00:00:53 --> 00:00:57]  продукты, которые не производят и про самые рентабельные продукты.
[00:00:57 --> 00:01:01]  А сейчас я в Кайе по 420 рублей за километра.
[00:01:01 --> 00:01:03]  И сколько в неделю он продается?
[00:01:03 --> 00:01:06]  В неделю ее хорошо продается.
[00:01:06 --> 00:01:11]  И я надеюсь, мы с ними посмотрим, как они производят свои колбасы,
[00:01:11 --> 00:01:16]  покажут нам свой цех, покажут нам свой кафе, в Итрии,
[00:01:16 --> 00:01:18]  присплючены на собой берут.
[00:01:18 --> 00:01:21]  Да, потому что там в Кайпе у меня есть это хорошо.
[00:01:21 --> 00:01:24]  И в принципе, я думаю, что нас выдается такой достаточно интересный,
[00:01:24 --> 00:01:28]  насыщенный разговор, лабд для игры, для игры.
[00:01:28 --> 00:01:29]  Да, да, да, да, да.
[00:01:29 --> 00:01:35]  Потому что судя по нашему общению предыдущему такие заряженные интересные люди,
[00:01:35 --> 00:01:36]  которые говорят своим делом.
[00:01:36 --> 00:01:40]  Мы делаем делать вот эту честную такую колбасу,
[00:01:40 --> 00:01:42]  у Сену Туральна, да, это короче миф.
[00:01:42 --> 00:01:46]  Такими рыжаться они работают по такой же системе,
[00:01:46 --> 00:01:50]  как камеры на больших производствах, только в маленьком формате.
[00:01:50 --> 00:01:54]  Ижец автомобилей все, да, даже урошлышь приц.
[00:01:54 --> 00:01:57]  Надеюсь, что наш выпуск будет сегодня для вас интересен.
[00:01:57 --> 00:01:58]  Поехали.
[00:02:20 --> 00:02:28]  ДИНАМИЧНАЯ МУЗЫКА
[00:02:28 --> 00:02:31]  Так, ну что мы приехали в Каса декарное,
[00:02:31 --> 00:02:34]  в доме отсадовать и посмотрим на удвое.
[00:02:34 --> 00:02:37]  5 звезд, 10, 9 отзов.
[00:02:37 --> 00:02:39]  Неста качает прямо.
[00:02:39 --> 00:02:40]  Удзовое.
[00:02:40 --> 00:02:43]  Даря метрофанова пишет.
[00:02:43 --> 00:02:44]  Изумительное место.
[00:02:44 --> 00:02:47]  Приказно перекусить дорогие купить гостиницы домой.
[00:02:47 --> 00:02:49]  И самое главное, что у нас есть очень изгодов.
[00:02:49 --> 00:02:51]  Хотя у удобней быстрее ближе по кейской трассе,
[00:02:51 --> 00:02:53]  чтобы заехать вот от чудное место.
[00:02:53 --> 00:02:56]  Хозяева просто молодцы, дмитрий пишет.
[00:02:56 --> 00:02:58]  Дегустота 6 уровня.
[00:02:58 --> 00:02:59]  Это очень хорошая место.
[00:02:59 --> 00:03:02]  Все свежее вкусные, молодцы, пройжая в окно,
[00:03:02 --> 00:03:04]  обязательно заезжаем сюда.
[00:03:04 --> 00:03:07]  Бургевриколепные, заготовки мяса, колбасы или мангалы,
[00:03:07 --> 00:03:08]  прекрасно.
[00:03:08 --> 00:03:09]  Спасибо.
[00:03:09 --> 00:03:10]  Гульнара.
[00:03:10 --> 00:03:11]  Ну и так далее.
[00:03:11 --> 00:03:14]  Кто бы не хотел, например,
[00:03:14 --> 00:03:16]  чтобы про его место так говорили.
[00:03:16 --> 00:03:18]  То есть классно, когда ребята трудятся таким образом,
[00:03:18 --> 00:03:22]  чтобы место являлось привлекателем туристов.
[00:03:32 --> 00:03:34]  Слушайте, ну вот такой мистечка.
[00:03:34 --> 00:03:36]  И на медлог Новая.
[00:03:36 --> 00:03:39]  То есть где-то в трамторой.
[00:03:39 --> 00:03:41]  Вот здесь вот такие вот экранчики.
[00:03:41 --> 00:03:42]  Класно.
[00:03:42 --> 00:03:47]  Все написано, что Бургеврис, супы, Салата, Горячей, Закуски.
[00:03:47 --> 00:03:50]  То есть пельмения, Годовские.
[00:03:50 --> 00:03:53]  И местные рукодельные сделали.
[00:03:53 --> 00:03:54]  Здрасте.
[00:03:54 --> 00:03:55]  Саняка Витрина.
[00:03:55 --> 00:03:57]  Красивая в принципе, она не так, что все на большая.
[00:03:57 --> 00:03:59]  Ну, зато все свое.
[00:03:59 --> 00:04:00]  Ящем гордится.
[00:04:00 --> 00:04:02]  Я бродите внимание.
[00:04:02 --> 00:04:04]  Здесь как раз ребята сделали.
[00:04:04 --> 00:04:07]  Тут такой местный бренц сделал на пусковской земле.
[00:04:07 --> 00:04:11]  И с гордостью предуподносится то, что сделал на своими руками на этой земле.
[00:04:11 --> 00:04:13]  И это очень очень классно.
[00:04:13 --> 00:04:15]  Мне она принадлежна очень радует.
[00:04:15 --> 00:04:19]  Потому что туристические тренды, когда люди русские путешествуют пару,
[00:04:19 --> 00:04:24]  сказем ли и потребляют русские продукты, это прямо классно.
[00:04:24 --> 00:04:26]  Можно сделать любой бургев.
[00:04:26 --> 00:04:28]  Местоградленный, как лет она взласса положить.
