[00:00:00 --> 00:00:08]  Здравствуйте дорогие друзья!
[00:00:08 --> 00:00:13]  Сегодня в нашей рубрике чудо кухня мы с вами приготовим каченную чудо-сельц.
[00:00:13 --> 00:00:20]  Для этого нам с вами понадобится очищенная филия сельдей без костей, но сожкуркой и приправа для посолой рыбы.
[00:00:20 --> 00:00:23]  Значит, мы берем все обычные просто.
[00:00:23 --> 00:00:31]  Перем наше филие, посыпаем приправкой и попусь.
[00:00:31 --> 00:00:39]  В состав нашей приправы уже входить соль, поэтому отдельно соль нам не потребуется.
[00:00:39 --> 00:00:56]  И мы заканчиваем соль наше рыб.
[00:00:56 --> 00:01:02]  И вот таким образом за сольную наше рыбку мы оставляем примерно на час полтора.
[00:01:02 --> 00:01:05]  В тепло, чтобы она просолилась.
[00:01:06 --> 00:01:12]  И так пока рыбка коптится, подготовим немножко опилок для наш вокопчения.
[00:01:12 --> 00:01:19]  К сожалению, не подготовил пилки за ранее, но зато у меня вот есть такая шикарная альховая дещечка.
[00:01:19 --> 00:01:21]  В кусочек вагогните.
[00:01:21 --> 00:01:24]  Он еще не пропитом.
[00:01:25 --> 00:01:28]  И мы берем наш вот опинетчик.
[00:01:28 --> 00:01:32]  Это вроде 9, мы убили на 3 начинаем.
[00:01:32 --> 00:01:37]  Оттим на пристраиваю.
[00:01:37 --> 00:01:41]  Вот таким образом продолжаем до победного конца.
[00:01:41 --> 00:01:45]  Но вот 15 минут уборно.
[00:01:45 --> 00:01:48]  Порно потрачено времени.
[00:01:49 --> 00:01:52]  Вот такой остался кусочек.
[00:01:52 --> 00:01:53]  От лягочки отлично.
[00:01:53 --> 00:01:56]  Наши пинуть показалось, что бевеликолетно страдает.
[00:01:56 --> 00:01:57]  Просто потрясающе.
[00:01:57 --> 00:02:03]  В принципе, вот такой одно и хорошие жминки нам должно предспехвать.
[00:02:03 --> 00:02:08]  На копчения всех тех рыбок, что повидили, сначала начали.
[00:02:08 --> 00:02:14]  Теперь приспалим костер.
[00:02:15 --> 00:02:19]  Вот такой печальный вид имеет мой костер.
[00:02:19 --> 00:02:26]  Вот сразу вам расскажу, что для того, для костра, для копчения,
[00:02:26 --> 00:02:29]  не обязательно используется хорошая дрова.
[00:02:29 --> 00:02:33]  Я бы не использую самый худший, обрезки, а брубки.
[00:02:33 --> 00:02:35]  Может даже при принципе, доски с краской.
[00:02:35 --> 00:02:40]  Но единственное после приготовления, выходим, будет выглядеть все за лу.
[00:02:40 --> 00:02:45]  Потому что потом, когда он был в жаре шелки, не потравится.
[00:02:45 --> 00:02:48]  Распалим сухими дравишки, а потом сверху подки.
[00:02:48 --> 00:02:53]  Старил какой-то обрезки, а брубки, что-то подгнивши.
[00:02:53 --> 00:02:57]  Самое главное, что подалок будет жар.
[00:02:57 --> 00:03:04]  Уже дым, сам попадается в костер, немного разгорелся.
[00:03:04 --> 00:03:07]  Мы не даем дровам, как бы переводить.
[00:03:08 --> 00:03:12]  Просто их укратненько раскладываем максимально горизонтально.
[00:03:12 --> 00:03:18]  Но при этом, стараемся не задушить костер, потому что если костер удать молод свободы,
[00:03:18 --> 00:03:23]  чтобы он дышал, то он листанин гореть.
[00:03:23 --> 00:03:26]  Теперь на все готово, отильки.
[00:03:26 --> 00:03:31]  Рыпка в состоянии коптикло.
[00:03:32 --> 00:03:39]  Силька, чийское, прошло распомыли, хорошо.
[00:03:39 --> 00:03:44]  Сожили не в жена, мне сейчас не помочь.
[00:03:44 --> 00:03:48]  Так смяться, поэтому будет в экшен риживе.
[00:03:48 --> 00:03:50]  Так.
[00:03:50 --> 00:03:52]  Отпировалица.
[00:03:52 --> 00:03:55]  Так, что тут у нас еще осталось.
[00:03:55 --> 00:03:58]  Старые пилочки и махпо центру.
[00:03:59 --> 00:04:03]  Берем нашу струшку.
[00:04:03 --> 00:04:09]  И ставим приблизительно пациента, потому что основная гонбудь пациентру,
[00:04:09 --> 00:04:18]  соответственно, основной выход дыма будет пациентр.
[00:04:18 --> 00:04:27]  Я почему-то заметил, что особычу желательно добавить не мношку,
[00:04:27 --> 00:04:31]  не мношку воды.
[00:04:31 --> 00:04:34]  Не важно, что это.
[00:04:36 --> 00:04:38]  Збочки.
[00:04:38 --> 00:04:39]  Сюда сточно.
[00:04:39 --> 00:04:44]  Все равно рится и будет нормально.
[00:04:44 --> 00:04:47]  Так, ну вот, приблизительно перемешали, это все.
[00:04:47 --> 00:04:49]  Я что, выглядит.
[00:04:49 --> 00:04:54]  Узасно печально, но поверите, люди так будет отличный.
[00:04:54 --> 00:04:55]  Так.
[00:04:56 --> 00:04:57]  Печка.
[00:04:57 --> 00:04:59]  Печка.
[00:04:59 --> 00:05:01]  И саму решу.
[00:05:01 --> 00:05:03]  Так.
[00:05:03 --> 00:05:04]  Теперь.
[00:05:04 --> 00:05:06]  Так.
[00:05:06 --> 00:05:08]  Так.
[00:05:08 --> 00:05:10]  Верите.
[00:05:10 --> 00:05:12]  Действительно их помыл.
[00:05:12 --> 00:05:14]  Теперь берем филе.
[00:05:14 --> 00:05:15]  Сельдия уже.
[00:05:15 --> 00:05:17]  Так, сажем, засолено.
[00:05:17 --> 00:05:19]  И не хом случае не раскладываем.
[00:05:19 --> 00:05:23]  Если бы сельдспро просолело с дольше, то можно было бы ее разложить.
[00:05:23 --> 00:05:27]  Но яmer, яmer, я думаю, сложить ее так.
[00:05:27 --> 00:05:30]  Во-первых, большего воды сохранится.
[00:05:30 --> 00:05:34]  Сомочили максимально.
[00:05:34 --> 00:05:35]  Вот.
[00:05:35 --> 00:05:42]  И стараемся, чтобы рыбка не прижималась друг друг друг.
[00:05:42 --> 00:05:49]  Вот какая она красивая.
[00:05:49 --> 00:05:53]  Здесь приблизительно 800.
[00:05:53 --> 00:05:54]  Песи от грамм.
[00:05:54 --> 00:05:56]  Я не помню точно.
[00:05:56 --> 00:05:57]  Вот.
[00:05:57 --> 00:05:58]  У нас есть еще вот.
[00:05:58 --> 00:05:59]  Обрезать, не большой.
[00:05:59 --> 00:06:01]  Мы его запихнем.
[00:06:01 --> 00:06:04]  Сельдия, дочек, только больше.
[00:06:04 --> 00:06:06]  Вот.
[00:06:06 --> 00:06:08]  Все, сложно.
[00:06:08 --> 00:06:09]  Теперь.
[00:06:10 --> 00:06:12]  Все это дело.
[00:06:12 --> 00:06:14]  Выкрываем.
[00:06:16 --> 00:06:19]  Очень ежненько.
[00:06:23 --> 00:06:25]  Очень ежненько.
[00:06:25 --> 00:06:26]  Старим на костюр.
