[00:00:00 --> 00:00:02]  Ребята, всем привет!
[00:00:02 --> 00:00:03]  Привет, ребята!
[00:00:03 --> 00:00:04]  Олег, что вы все бы готовите?
[00:00:04 --> 00:00:07]  Всем будем готовить с кумбры, ударячего к обчения.
[00:00:07 --> 00:00:09]  Покажем, что потребуется.
[00:00:09 --> 00:00:11]  Для сегодняшний рецепт, нам потребуется с кумбре.
[00:00:11 --> 00:00:13]  Мы взяли 7 штук крупных.
[00:00:13 --> 00:00:17]  Недавно приесли с магазина, она еще добывается о всем мороженную была.
[00:00:17 --> 00:00:20]  Чичуть начинает охадить на эту то, что надо.
[00:00:20 --> 00:00:22]  Сейчас, когда будем резать, я его играть.
[00:00:22 --> 00:00:25]  Я объясню, почему так же крупная соль.
[00:00:25 --> 00:00:27]  Перец горошком, лавровый лист.
[00:00:27 --> 00:00:29]  В принципе, ничего сложного.
[00:00:29 --> 00:00:31]  Приступим.
[00:00:31 --> 00:00:33]  Удаление кишок из кумбри.
[00:00:35 --> 00:00:37]  Здесь, наверное, никому не рассказывать, не надо.
[00:00:37 --> 00:00:39]  Просто я разрезаю.
[00:00:39 --> 00:00:44]  И почему хорошо, что она подморожена.
[00:00:44 --> 00:00:50]  Если она совсем была бы оттальше, то кишки вы, в сложном была бы втальске.
[00:00:50 --> 00:00:52]  Здесь они должны поедеть.
[00:00:52 --> 00:00:53]  И днем большим.
[00:00:53 --> 00:00:55]  Вот, как я и предполагал.
[00:00:56 --> 00:00:59]  Просто одним куском вытаскиваются.
[00:01:02 --> 00:01:04]  Вот с лекатокей, как мороженой.
[00:01:04 --> 00:01:06]  Очень удобно вытаскиваться.
[00:01:08 --> 00:01:11]  И все, на чистые рыбы, сейчас промое.
[00:01:11 --> 00:01:13]  И так же поступаем со всеми рыбкой.
[00:01:19 --> 00:01:21]  С кумбрее, вообще, очень вкусное рыба.
[00:01:21 --> 00:01:22]  Нам очень нравится.
[00:01:22 --> 00:01:26]  Но, когда как тем постоянно все довольные рецепт,
[00:01:26 --> 00:01:27]  не сможет.
[00:01:27 --> 00:01:30]  Повторите, я не знаю, даже ребенок сможет.
[00:01:30 --> 00:01:34]  Все промываем рыбу и складываем, какой-то емкрости.
[00:01:36 --> 00:01:38]  Также со всей поступаем.
[00:01:40 --> 00:01:42]  Кишки, очень легко удаляются.
[00:01:42 --> 00:01:43]  Вот это, мне нравится.
[00:01:43 --> 00:01:46]  Со свежей рыбы все-таки приходится в помочь.
[00:01:46 --> 00:01:48]  Здесь все гораздо проще.
[00:01:49 --> 00:01:54]  Танется леком прямо выходят еще на примере покажу.
[00:01:59 --> 00:02:00]  Вот и все.
[00:02:10 --> 00:02:13]  Я думаю, понятно, со всей рыбы делаем то же самое.
[00:02:19 --> 00:02:21]  Стутрашили все рыбу.
[00:02:21 --> 00:02:23]  Помыли ее почистили.
[00:02:23 --> 00:02:25]  Теперь приступаем за салк.
[00:02:27 --> 00:02:28]  Верем рыбу.
[00:02:28 --> 00:02:30]  Сначала на одном можно на свепость.
[00:02:36 --> 00:02:37]  Теперь рыбу.
[00:02:37 --> 00:02:39]  Вовнутри обязательно запаим в соль.
[00:02:39 --> 00:02:40]  Соль не жалея.
[00:02:40 --> 00:02:42]  И рыба сколько надо, столько возьмёт.
[00:02:42 --> 00:02:44]  С себя, потом мы все равно промывать.
[00:02:45 --> 00:02:47]  Поэтому соль не лезя.
[00:02:47 --> 00:02:49]  Не лезя переборщить.
[00:02:50 --> 00:02:51]  Икладываем.
[00:02:55 --> 00:02:56]  Перез горошком.
[00:02:57 --> 00:02:58]  Так, во внутрь.
[00:03:00 --> 00:03:02]  Во внутрь можно немножко.
[00:03:06 --> 00:03:09]  Так, на себе все равно рыбы выделит потом раз соль.
[00:03:09 --> 00:03:13]  И все это вместе будет в раз соли держать лоруску кинем.
[00:03:13 --> 00:03:15]  Так сделаем.
[00:03:22 --> 00:03:23]  Следующая.
[00:03:28 --> 00:03:30]  Так же посыпаем всю рыбу.
[00:03:31 --> 00:03:33]  Внутрь не забываем.
[00:03:33 --> 00:03:36]  Вообще существует двадцать на их виду засолки.
[00:03:37 --> 00:03:39]  Как бы сухая, как мы сейчас соль.
[00:03:39 --> 00:03:42]  И не знаю, как ее назвать.
[00:03:42 --> 00:03:43]  Мокры не мокры.
[00:03:43 --> 00:03:44]  В раз соли.
[00:03:44 --> 00:03:45]  Когда делается.
[00:03:45 --> 00:03:47]  Варится раз соц специальный.
[00:03:47 --> 00:03:51]  Также соль, там перец, лавровый лист, гвоздик.
[00:03:51 --> 00:03:53]  И иногда добавляют.
[00:03:53 --> 00:03:54]  Перец.
