[00:00:00 --> 00:00:02]  Здравствуйте, дорогие друзья!
[00:00:02 --> 00:00:06]  Мезалу Траман Сокаях, едя яка компанижится.
[00:00:06 --> 00:00:11]  Сегодня у нас 6 яюня в воскресенье.
[00:00:11 --> 00:00:14]  Нам приехали товарищи из Борнаула.
[00:00:14 --> 00:00:17]  Оточнее из маленького городка под Борнаула,
[00:00:17 --> 00:00:18]  который называется ЗМИГОСК.
[00:00:18 --> 00:00:21]  У них сейчас два магазина,
[00:00:21 --> 00:00:23]  местной стола не называется.
[00:00:23 --> 00:00:27]  И коптят мясо, сами перерабатывают,
[00:00:27 --> 00:00:30]  колбасы, целево-сковое, копченное мясо,
[00:00:30 --> 00:00:33]  и продают в собственной розничтнете сетеном,
[00:00:33 --> 00:00:35]  пока она стоит без двух магазин.
[00:00:35 --> 00:00:38]  Они коптели до этого простой, коптильнее,
[00:00:38 --> 00:00:42]  и решили попробовать копчения в профессиональной.
[00:00:42 --> 00:00:45]  Посмотрите на отличие под светово,
[00:00:45 --> 00:00:48]  по запаху, по удобству эксплуатации,
[00:00:48 --> 00:00:51]  по эффективности, решения технологические задачи.
[00:00:51 --> 00:00:54]  У нас получились вот такие прекрасные,
[00:00:54 --> 00:00:56]  копченные продукты.
[00:00:56 --> 00:00:58]  Мы с коптилей урудинку,
[00:00:58 --> 00:01:01]  лопатку, и карбанат.
[00:01:01 --> 00:01:03]  Нам из лета, так обчини, получилось очень интересно,
[00:01:03 --> 00:01:08]  потому что в один тоже имеет уже достаточно хорошего под копчения.
[00:01:08 --> 00:01:11]  Успешного, они с их магазинах успешно продают
[00:01:11 --> 00:01:15]  достаточно объем колбасные продукции.
[00:01:15 --> 00:01:17]  Зарабатывают на этом деньги,
[00:01:17 --> 00:01:20]  и субсно приехали для того, чтобы развиваться
[00:01:20 --> 00:01:22]  и приобретать профессиональное оборудование,
[00:01:22 --> 00:01:27]  чтобы их продукт был максимально высокого качества.
[00:01:27 --> 00:01:30]  Участок оптим с клиентами на специально лаборатория
[00:01:30 --> 00:01:31]  для этого построена.
[00:01:31 --> 00:01:35]  Как раз это, что люди приехали, и своими глазами увидели,
[00:01:35 --> 00:01:37]  как происходит процесс.
[00:01:37 --> 00:01:39]  Сейчас у нас лаборатория не большая,
[00:01:39 --> 00:01:41]  а максимум 4 человек, 4,5 человек,
[00:01:41 --> 00:01:43]  мы можем принимать планину,
[00:01:43 --> 00:01:44]  ближайшее время, построй еще,
[00:01:44 --> 00:01:46]  больше лаборатория, что проводить,
[00:01:46 --> 00:01:47]  уже большие тренинги,
[00:01:47 --> 00:01:50]  с группами 10,20 человек.
[00:01:50 --> 00:01:52]  В том числе и тренинги для тех,
[00:01:52 --> 00:01:54]  с налогов профессиональных,
[00:01:54 --> 00:01:56]  которые бы приехали и посмотрели,
[00:01:56 --> 00:02:00]  как удобно обращаться с нашей системы управления.
[00:02:04 --> 00:02:07]  Добя на приятных изменок, да?
[00:02:07 --> 00:02:08]  Да, в городе не могу раствовал,
[00:02:08 --> 00:02:09]  в Москве, в Краше.
[00:02:09 --> 00:02:10]  В Маткости.
[00:02:11 --> 00:02:14]  Так, он интересный формат, ребята,
[00:02:14 --> 00:02:15]  магазина, возле дома, да?
[00:02:15 --> 00:02:17]  В Маткости.
[00:02:17 --> 00:02:18]  Не знаю, в Маткости.
[00:02:18 --> 00:02:19]  Угу.
[00:02:19 --> 00:02:20]  Вот.
[00:02:20 --> 00:02:25]  В Меногурске это тоже как кофе, не да, у нас петербурге.
[00:02:25 --> 00:02:27]  Затемать очень интересно.
[00:02:27 --> 00:02:29]  В Меногурске это не так, разница, он оборновывается,
[00:02:29 --> 00:02:31]  он говорит, что он знает, что он знает.
[00:02:31 --> 00:02:35]  Я, основная, здесь, наверное, да, сейчас в Навесах.
[00:02:35 --> 00:02:38]  Петка общения в 7,850, получилось.
[00:02:38 --> 00:02:42]  Ну, и здесь, после уже общения, еще на еще мук,
[00:02:42 --> 00:02:43]  и вот осуле.
[00:02:43 --> 00:02:47]  Я думаю, у нас сушка у нас процента 2 на потеряет.
[00:02:47 --> 00:02:49]  Потом посмотрим, сколько она потеряет на копчении.
[00:02:49 --> 00:02:52]  Значит, цалили мы все это хозяйство.
[00:02:52 --> 00:02:55]  У Санца начи, компания Бёстар Кулинар.
[00:02:55 --> 00:02:59]  Вот сегодня ребят, это как нам приехали уже с просовленным мясом.
[00:02:59 --> 00:03:04]  Вот и собственно, будем смотреть на процесс of the копчения.
[00:03:04 --> 00:03:08]  Сейчас размещаемся, это дело на решетке.
[00:03:08 --> 00:03:14]  Объем небольшой фитал, надо решетку спокойно увезать.
[00:03:14 --> 00:03:17]  Вот, надо решетка, должно быть больше бы увезла.
[00:03:17 --> 00:03:20]  В килограмм 15, надо решетку повезла.
[00:03:20 --> 00:03:22]  Бангурга, разода.
[00:03:22 --> 00:03:30]  Значит, это не обращайте внимание, что мы без перчаток руки мы помыли.
[00:03:30 --> 00:03:33]  Вот руки чистые.
[00:03:33 --> 00:03:36]  Все хорошо, вот такой вот меска.
[00:03:36 --> 00:03:38]  Это пякику, скинулась получается.
[00:03:38 --> 00:03:40]  Вот, получается, это крабанат.
[00:03:40 --> 00:03:44]  Два кусочка, коракан, и два кусочка, гругинки.
[00:03:44 --> 00:03:47]  Другинка у нас здесь сочкура.
[00:03:47 --> 00:03:49]  И так что посмотрите, как выглядит.
[00:03:49 --> 00:03:52]  Да, заодно рисом мы хмашкурип посмотрим.
[00:03:52 --> 00:03:57]  Можно знаешь, что кстати, один кусок положить, жкура и вер.
[00:03:57 --> 00:03:59]  Да, кстати, вот небольшой меска.
[00:03:59 --> 00:04:00]  Да, вот и так.
[00:04:00 --> 00:04:01]  Истороннее.
[00:04:01 --> 00:04:06]  Вослическе программы, как чень у нас это сука об чения.
[00:04:06 --> 00:04:11]  Вослически, мы достигаем сукур поверхности продукты
[00:04:11 --> 00:04:13]  для того, что он и не улетит с длиок цвет.
[00:04:13 --> 00:04:16]  Может, он не упрайно, наверное, красивый, любим.
[00:04:16 --> 00:04:18]  Значит, вообще не соответственно, мы коптим.
[00:04:18 --> 00:04:21]  И на варке мы варим и достигаем температурон для продукты.
[00:04:21 --> 00:04:22]  Вся месяца 2 градусов.
[00:04:22 --> 00:04:23]  Вот, это известный от съем.
[00:04:23 --> 00:04:26]  Значит, сушку мы делаем при 45 градусов.
[00:04:26 --> 00:04:28]  С 45 максимум 50 градусов.
[00:04:28 --> 00:04:33]  Да, достаточно, температурон для того, чтобы быстро тысушить продукты.
[00:04:33 --> 00:04:39]  А как темно обычно, при 60 градусов, подъем дым, примерно 30 минут.
[00:04:39 --> 00:04:42]  И варим мы при температурон 8, с 8, с 2 градусов.
[00:04:42 --> 00:04:45]  Сахтабери делаем максимально влажность.
[00:04:45 --> 00:04:49]  Смачивает, наверное, это будет примерно 90-тира, 94%.
[00:04:49 --> 00:04:55]  Вот, варим до температуры внутри, 70-тира, 70 градусов.
[00:04:55 --> 00:04:59]  Это того, чтобы продукт уже можно было употреблять в пищу.
[00:04:59 --> 00:05:02]  Значит, зачем мы делаем 1-2 час прогрева?
[00:05:02 --> 00:05:08]  Значит, прогрева мы не хотим для того, чтобы равномерно внутри продукт прогревся.
[00:05:08 --> 00:05:10]  И сработало не 3 на 30.
[00:05:10 --> 00:05:14]  Для того, чтобы она отрасила продукт в растворных свер.
[00:05:14 --> 00:05:20]  Если мы начнем варить до температуры внутри, варно нервно будет 20 градусов.
[00:05:20 --> 00:05:22]  Содолтового, самут не 5 на 30.
[00:05:22 --> 00:05:25]  Но продукт, так, працит, нервно нервно нервно.
[00:05:25 --> 00:05:28]  Где-то будет серий, где-то будет працит.
[00:05:28 --> 00:05:30]  И, в общем-то, это будет не том常ые.
[00:05:30 --> 00:05:33]  Сейчас мы закатываем внутрь.
[00:05:33 --> 00:05:39]  Наша продукт уже закрываем все зазловно, что вот и стоим температуру 45 градусов.
[00:05:39 --> 00:05:44]  И, посмотрим, и прогревать, мы им доти температуры внутри 20 градусов.
[00:05:45 --> 00:05:52]  И, когда ты вынадачиваешь, ты кое-что самый потусственный шкуфон.
[00:05:52 --> 00:05:55]  Вот, вот так, а он попросит.
[00:06:00 --> 00:06:02]  Значит, до слого, начнем, начнем, начнем.
[00:06:02 --> 00:06:04]  Значит, до слого, начнем, начнем.
[00:06:04 --> 00:06:09]  Слодит 50 градусов и, и, на этот шкуфон.
[00:06:39 --> 00:06:44]  Вот, вот столк и продукт прогреться, и лодосточно просто можно видеть, подсушить и быстро.
[00:06:44 --> 00:06:48]  На сучке мы окроем все засломки, в атаком, в атаком, в поставе, оставим,
[00:06:48 --> 00:06:52]  оставим, в атаком, в 45 градусов, и мы руды 50 остаем.
[00:06:52 --> 00:06:55]  Вот, и на сучке важно, на свинение, проверить, что все кухуть,
[00:06:55 --> 00:06:57]  в сучке, у нас рановенно подсобленный, на свинении,
[00:06:57 --> 00:07:00]  допускать, и не может такая ликтова, то есть поверхности,
[00:07:00 --> 00:07:02]  но она, там не должно быть точно в ладении.
[00:07:02 --> 00:07:03]  Как вы?
[00:07:03 --> 00:07:06]  Вы сейчас видят, один, когда мы вижу, что-то.
[00:07:06 --> 00:07:09]  Вечно, и нож, как по семне, начало, а вот, а вот, а вот, на нахвативниц,
[00:07:09 --> 00:07:11]  это значит, что, в общем-то, она уже как у нас,
[00:07:11 --> 00:07:14]  кооптим мы, по температуре 60 градусов.
[00:07:14 --> 00:07:15]  Вот.
[00:07:15 --> 00:07:20]  Запускаем, вот и по времени, он встает 35 минут.
[00:07:20 --> 00:07:24]  Да, значит, завалышку, завинил, 5 минут, повеков,
[00:07:24 --> 00:07:27]  я овошел, вкус наживаем, наделённую табичку,
[00:07:27 --> 00:07:30]  вон, может, прекращается, и сейчас мы перекудем клад.
[00:07:30 --> 00:07:33]  Я хочу поздно ездить на стину.
[00:07:33 --> 00:07:37]  Вот, когда я еду, вы практически не отхвативаете.
[00:07:37 --> 00:07:38]  Вы практически нет.
[00:07:38 --> 00:07:41]  Ох, ну, осталось, вот такая у нет, контакция еще.
[00:07:41 --> 00:07:44]  Вот сейчас мы перекудем на варк.
[00:07:44 --> 00:07:47]  Мы поднимаем температуру, дома с ней си-гургадуса.
[00:07:47 --> 00:07:51]  Мы температуру, когда там, на 7,5 градусов,
[00:07:51 --> 00:07:54]  и влазность, нам нужно на 100%.
[00:07:55 --> 00:07:57]  Здесь можно интересно.
[00:07:57 --> 00:08:01]  Величили еще раз по-возу до 40 секунд.
[00:08:01 --> 00:08:04]  У нас раз в 4 секунд.
[00:08:04 --> 00:08:06]  На одну секунд, открывается кладом,
[00:08:06 --> 00:08:08]  подачиваю, мы его слышим.
[00:08:08 --> 00:08:09]  Вот.
[00:08:09 --> 00:08:11]  Но, как мы видим, на влазность, это не публикало.
[00:08:11 --> 00:08:13]  Влажность, на стену остается достаточно высокой.
[00:08:13 --> 00:08:14]  Диился 2%.
[00:08:14 --> 00:08:18]  Вот таким образом, мы экономим нашу электрой энергии воду,
[00:08:18 --> 00:08:20]  который подает в камеру.
[00:08:20 --> 00:08:23]  И повышаем эффективность соцсно-проварки.
[00:08:23 --> 00:08:25]  Сейчас на 47 минут прошло.
[00:08:25 --> 00:08:28]  Температура, 5,6 градусов, в нашем достаточно руком.
[00:08:28 --> 00:08:30]  Вске, сфинины.
[00:08:31 --> 00:08:33]  Вот и еще, на что хотел обратить внимание,
[00:08:33 --> 00:08:35]  и все у нас подключения, где мы вознездел.
[00:08:35 --> 00:08:38]  В нас две камеры подключены систему вентиляции.
[00:08:38 --> 00:08:40]  Там за стимой стоит вентилятор.
