[00:00:00 --> 00:00:05]  Добрый день, дорогие друзья!
[00:00:05 --> 00:00:07]  Мы с вами находимся на канале,
[00:00:07 --> 00:00:09]  мы с РСКО и Навальцы Александра Ченнедева.
[00:00:09 --> 00:00:12]  И с вами я Юша Вповар, Андрей Бакайев.
[00:00:12 --> 00:00:17]  Сегодня на нашем канале просто обыкновенный классический рецепт
[00:00:17 --> 00:00:19]  с Кумбрий Горяча Копчения.
[00:00:19 --> 00:00:22]  Будет классический росом, классическая с Кумбрию.
[00:00:22 --> 00:00:25]  И для этого мне понадобится следующая оборудование
[00:00:25 --> 00:00:28]  в моем мини Рыбном Цехе.
[00:00:28 --> 00:00:30]  Мой чтая ванна для крупного ванна.
[00:00:30 --> 00:00:33]  Инвентаря, но мне на ней потребуется просто рабочая
[00:00:33 --> 00:00:35]  панельная, которая буду работать.
[00:00:35 --> 00:00:39]  Если небольшая плитка идем с вами дальше, у нас
[00:00:39 --> 00:00:44]  с вами есть различные стол, которые мне поможет быстро
[00:00:44 --> 00:00:48]  ускорить мою работу, растите и достаточно обрихчить.
[00:00:48 --> 00:00:52]  Там есть большая, мой чтая ванна где буду размораживать с Кумбрию.
[00:00:52 --> 00:00:56]  Есть раковина, есть место для сбора мусора и соответственно
[00:00:56 --> 00:00:58]  сама, сама столешница.
[00:00:58 --> 00:01:01]  После чего с Кумбрию у нас с вами попадет в подсольный
[00:01:01 --> 00:01:02]  бассейн.
[00:01:02 --> 00:01:06]  Просольный бассейн у нас состоит из трёх одинаковых секций.
[00:01:06 --> 00:01:09]  Он имеет овём 130-х литров, не каждое, а все вместе.
[00:01:09 --> 00:01:13]  И он поддерживает у нас температуру от минуса до плюса.
[00:01:13 --> 00:01:16]  И, конечно же, в приготовлении с Кумбрии, мне поможет
[00:01:16 --> 00:01:18]  наш голодон с Мокер 90.
[00:01:18 --> 00:01:20]  Голодон с Мокер 90.
[00:01:20 --> 00:01:23]  Мы с вами посмотрим сколько и как.
[00:01:23 --> 00:01:26]  Тут пока вау, как и приготовить, и как красиво она
[00:01:26 --> 00:01:27]  получилась.
[00:01:27 --> 00:01:30]  В конце в итоге после того, как мы с вами приготовим
[00:01:30 --> 00:01:33]  из стесственно, мне облегче работу ему и труб.
[00:01:33 --> 00:01:37]  Это ванна кимическая мойки, которая поможет мне просто
[00:01:37 --> 00:01:41]  быстро в течение часа двух, вымать и очистить мой
[00:01:41 --> 00:01:42]  рабочий смокер.
[00:01:42 --> 00:01:43]  Давайте поехали.
[00:01:53 --> 00:01:57]  С Кумбрии у меня сегодня 1850.
[00:01:57 --> 00:01:59]  Халибровка 4600.
[00:01:59 --> 00:02:01]  Давайте скроме и посмотрим, что она привезли.
[00:02:01 --> 00:02:06]  Я сейчас просто положил в банну и давайте сами договляемся,
[00:02:06 --> 00:02:08]  что любая заморуска.
[00:02:08 --> 00:02:11]  У нас должна с вами отходить просто и стесственно в обработанном
[00:02:11 --> 00:02:14]  мы не будем взоревать никакой холодной водой.
[00:02:14 --> 00:02:16]  Мы лучше их два три часа подожжем.
[00:02:16 --> 00:02:19]  Когда она у нас оттает, но мы не будем ждать, когда с Кумбри
[00:02:19 --> 00:02:21]  у нас превратится в кашу.
[00:02:21 --> 00:02:24]  Чуть-чуть ледяной холодной, мы ее уже начнем разделом.
[00:02:24 --> 00:02:27]  И ее так гораздо легче подошить и потом промывать.
[00:02:27 --> 00:02:30]  Давайте мы сейчас пока нашу скумбрии.
[00:02:30 --> 00:02:31]  Размораживается.
[00:02:31 --> 00:02:35]  Мы с вами приготовим кластический разол и уже подготовим
[00:02:35 --> 00:02:37]  наш пасольный бассейн.
[00:02:37 --> 00:02:42]  Итак, для классического разола для просотки нашей
[00:02:42 --> 00:02:45]  скумбрии нам с вами понадобится 10 китров чистой,
[00:02:45 --> 00:02:47]  очищеной осматической воды.
[00:02:47 --> 00:02:52]  У нас с вами пойдет 75 грамм соли, неодированной
[00:02:52 --> 00:02:54]  на один в литров воды.
[00:02:54 --> 00:02:58]  У нас с вами пойдет 25 грамм сахара на один литров воды и
[00:02:58 --> 00:02:59]  далее специи.
[00:02:59 --> 00:03:03]  Я вам просто расскажу, сколько я возьму и даже мы с вами
[00:03:03 --> 00:03:06]  посчитаем и вывели на вес на 10 литров воды.
[00:03:06 --> 00:03:08]  Давайте с вами начнем.
[00:03:17 --> 00:03:24]  Итак, соль у меня готова, но мы с вами помним,
[00:03:24 --> 00:03:26]  что вода у нас просто осматическая, очищенная,
[00:03:26 --> 00:03:27]  некий печеная.
[00:03:27 --> 00:03:30]  Итак, я суда добавляю отмеренную соль.
[00:03:30 --> 00:03:31]  Теперь беру сахара.
[00:03:31 --> 00:03:34]  Вы помните 25 грамм на один литров воды.
[00:03:34 --> 00:03:42]  Сахар у меня тоже готов.
[00:03:42 --> 00:03:47]  Я его тоже помещаю в наш разу и теперь самое главное.
[00:03:47 --> 00:03:50]  С вами возьмем специи.
[00:03:50 --> 00:03:52]  Я делаю это абсолютно свои.
[00:03:52 --> 00:03:54]  На и просещен способом.
[00:03:54 --> 00:03:56]  Я просто беру немного воды в куше.
[00:03:56 --> 00:04:00]  Мы по-анно грандвести и я буду использовать нашу глиту.
[00:04:00 --> 00:04:11]  4 грамм отчет на 5 согарошкам.
[00:04:11 --> 00:04:14]  Но дальше я вам расскажу, как сделать еще прикольнее.
[00:04:14 --> 00:04:17]  4 грамм от вездеки.
[00:04:17 --> 00:04:21]  Я включил 250 грамм воды.
[00:04:21 --> 00:04:24]  В целей помните я их взял из нашего запаса.
[00:04:24 --> 00:04:25]  Положил туда все специи.
[00:04:25 --> 00:04:27]  Я доведу все это в декитине.
[00:04:27 --> 00:04:29]  Я не буду все это кипедить.
[00:04:29 --> 00:04:31]  И потом очень очень сильно убавлю.
[00:04:31 --> 00:04:34]  Чтобы у меня просто чуть-чуть, это, скажем так, специи раскрылись
[00:04:34 --> 00:04:36]  и чуть-чуть они подушились.
[00:04:36 --> 00:04:38]  Это буквально будет минуты 2-3.
[00:04:38 --> 00:04:42]  Когда все это освет, я добавлю в наш разу иначе перемешиваю
[00:04:42 --> 00:04:49]  соль и сахар и все это в пацанной специальной вкусной производства.
[00:04:49 --> 00:04:51]  И так специи у меня готовы.
[00:04:51 --> 00:04:52]  Они отдали весь свой вкус.
[00:04:52 --> 00:04:57]  Они уже горечи и распарлены и просто добавлю в наш сосос.
[00:04:57 --> 00:05:03]  Итак, расколо у меня готов.
[00:05:03 --> 00:05:04]  В просольной бассейн тоже он включен.
[00:05:04 --> 00:05:06]  Он плюс два градуса.
[00:05:06 --> 00:05:09]  И вы помните, что мы с вами делаем все расколы.
[00:05:09 --> 00:05:13]  А от нуля до плюс 5, но я всегда беру градуса 2-1.
[00:05:13 --> 00:05:16]  Это на дежно и просолка достаточно лучше.
[00:05:16 --> 00:05:18]  Наш продукт становится жестче.
[00:05:18 --> 00:05:19]  Итак, он у меня готов.
[00:05:19 --> 00:05:20]  Давайте будем заливать.
[00:05:20 --> 00:05:29]  Рыба готова.
[00:05:29 --> 00:05:34]  Наш стол для начала мы с вами возьмем.
[00:05:34 --> 00:05:35]  Покет для сбора мусора.
[00:05:35 --> 00:05:38]  Мы с вами установим это все очень просто.
[00:05:39 --> 00:05:42]  Покетно помещаем внутрь.
[00:05:42 --> 00:05:49]  И здесь мы с вами его затопляем специальным кольцом.
[00:05:49 --> 00:05:54]  Залжим тоже просоль.
[00:05:54 --> 00:05:56]  Так, пока я не собрал у нас готов.
[00:05:56 --> 00:05:58]  У меня есть доска.
[00:05:58 --> 00:06:00]  На которой я буду разделывать рыбу.
[00:06:00 --> 00:06:04]  И теперь я достану немного немного рыбы.
[00:06:04 --> 00:06:07]  Нас того, чтобы закаждаем не поздно.
[00:06:10 --> 00:06:13]  Итак, скумблю делаем очень аккуратно.
[00:06:13 --> 00:06:15]  Я сейчас все это покажу.
[00:06:15 --> 00:06:16]  Мы удали все внутренности.
[00:06:16 --> 00:06:18]  Мы обязательно удали в жабры.
[00:06:18 --> 00:06:20]  И у нас есть хитовая кусть.
[00:06:20 --> 00:06:23]  Там мы сделаем разрез и очень важно оттуда.
[00:06:23 --> 00:06:24]  Удалить.
[00:06:24 --> 00:06:27]  Когда я буду пробовать, я вам покажу, что нужно получиться.
[00:06:27 --> 00:06:28]  Поехали.
[00:06:35 --> 00:06:38]  Вот то, о чем я вам говорил.
[00:06:38 --> 00:06:39]  Вот это все.
[00:06:39 --> 00:06:41]  Нам придется с вами удалить.
[00:06:41 --> 00:06:43]  Мы делаем разрез.
[00:06:43 --> 00:06:45]  Видите, все побежало.
[00:06:45 --> 00:06:47]  Чего на пофсе это?
[00:06:47 --> 00:06:49]  Мы еще сейчас тоже с вами удалим.
[00:06:49 --> 00:06:51]  Просто ее промоим как пелают.
[00:06:51 --> 00:06:53]  Итак, вот такая скумля.
[00:06:53 --> 00:06:55]  Мы это сделаем с каждой штучки.
[00:06:55 --> 00:07:06]  Я ее положу, чтобы лишнее вода стекала.
[00:07:06 --> 00:07:09]  И буду продолжать делать сведущую.
[00:07:14 --> 00:07:18]  Когда мы работаем, у нас совсем с вами все очень грязно.
[00:07:18 --> 00:07:20]  Солочный, легко и просто.
[00:07:20 --> 00:07:21]  Можно сфей по полосу.
[00:07:25 --> 00:07:34]  Скуmbria с головой или без головой.
[00:07:34 --> 00:07:36]  Это абсолютно неважно.
[00:07:36 --> 00:07:37]  Это все на вашу вкус.
[00:07:37 --> 00:07:42]  И если скуmbria будет без головой, то загрузка будет и немного больше.
[00:07:42 --> 00:07:44]  Итак, это не на что не влияет.
[00:07:44 --> 00:07:47]  То, как вы хотите, так и готовьте.
[00:07:55 --> 00:08:10]  Итак, 18 килограмм у меня находится в бассейне в бассейне температуру.
[00:08:10 --> 00:08:11]  В 2 градусов.
[00:08:11 --> 00:08:13]  Мы сейчас он кюлювает, покажем.
[00:08:13 --> 00:08:15]  Мы с вами подожжем.
[00:08:15 --> 00:08:16]  В 18 часов.
[00:08:16 --> 00:08:19]  Это будет предостаточно для слабо саленной скумбли.
[00:08:19 --> 00:08:23]  И меня осталось потратить еще 5 минут в своего драгоценного времени.
[00:08:23 --> 00:08:26]  Чтобы пересех в порядок, стадуй где мы работаем.
[00:08:54 --> 00:08:56]  Вот такой работа.
[00:08:56 --> 00:08:57]  Очень легкий.
[00:08:57 --> 00:08:59]  В 18 килограмм скуmbли.
[00:08:59 --> 00:09:01]  Это очень просто.
[00:09:01 --> 00:09:02]  Все очень удобно.
[00:09:02 --> 00:09:03]  Мы начинаем.
[00:09:03 --> 00:09:04]  Разделили на стол.
[00:09:04 --> 00:09:05]  Просольный бассейн.
[00:09:05 --> 00:09:07]  Я потратил всего полтора часа.
[00:09:07 --> 00:09:10]  На разделку на приготовление раствова.
[00:09:10 --> 00:09:11]  Все под рукой.
[00:09:11 --> 00:09:13]  Все очень класса и очень быстро.
[00:09:13 --> 00:09:15]  И теперь мы немного подожжем.
[00:09:15 --> 00:09:17]  И заставляем тем всякая наша друзья.
[00:09:17 --> 00:09:21]  Голден Смокер в 90-х и к нашей химической ранее.
[00:09:23 --> 00:09:28]  Рассольный бассейн простая в 20 часов.
[00:09:28 --> 00:09:33]  Два градуса там было очень хорошо.
[00:09:33 --> 00:09:34]  В общем, на фанерсах.
[00:09:34 --> 00:09:38]  Смотрите, как у нас получилась скумблия.
[00:09:38 --> 00:09:40]  Она очень хорошо пахнет в маринадом.
[00:09:40 --> 00:09:42]  Она просолена.
[00:09:42 --> 00:09:43]  Она чистенькая.
[00:09:43 --> 00:09:44]  Беленькая.
[00:09:44 --> 00:09:47]  И как я вам уже говорил, я не дымачиваю.
[00:09:47 --> 00:09:49]  Я просто ее обдам холодное воду.
[00:09:49 --> 00:09:51]  Просто чуть-чуть обмой в отспеться.
[00:09:51 --> 00:09:55]  Смотри, как отлично.
[00:09:55 --> 00:09:56]  Я пока работаю.
[00:09:56 --> 00:09:58]  У меня все все стекает.
[00:09:58 --> 00:10:00]  Большая вода у меня стекает.
[00:10:00 --> 00:10:03]  Давайте не с вами перейдем к обдязке.
[00:10:03 --> 00:10:05]  Я уже приготовил шпагат.
[00:10:05 --> 00:10:06]  У меня очень простой.
[00:10:06 --> 00:10:08]  Вы можете брать абсолютно любой.
[00:10:08 --> 00:10:10]  Какой я нравится цветной белой красной си.
[00:10:10 --> 00:10:15]  Но чтобы четко обвязал, держал форму и выдержал температуру.
[00:10:15 --> 00:10:18]  В нашей термокалили Голден Свокер.
[00:10:19 --> 00:10:21]  Чтобы проверять на вязанную шпагат,
[00:10:21 --> 00:10:22]  не надо еще вымерять.
[00:10:22 --> 00:10:23]  Это все очень просто.
[00:10:23 --> 00:10:24]  Обязательно любого продукта.
[00:10:24 --> 00:10:26]  И мне четыре длины.
[00:10:26 --> 00:10:28]  Если мы с вами обязали, доль и покирю.
[00:10:28 --> 00:10:30]  Итак, давайте посмотрим.
[00:10:30 --> 00:10:32]  Давайте начнем с хвоста.
[00:10:32 --> 00:10:34]  Чтобы долго нам не учится.
[00:10:34 --> 00:10:36]  Я делаю просто пару узелков.
[00:10:36 --> 00:10:38]  Не очень сильно, не очень хлебка.
[00:10:38 --> 00:10:40]  Я сделал узелок.
[00:10:40 --> 00:10:42]  Рыпка у меня повусть на 4-4 час.
[00:10:42 --> 00:10:43]  Я делаю очень просто.
[00:10:43 --> 00:10:46]  Я так делаю вам, наверное, как там уже быть удобней.
[00:10:46 --> 00:10:49]  Кто-то сразу накидывает петлю.
[00:10:49 --> 00:10:52]  Но я спитюю работать не люблю.
[00:10:52 --> 00:10:54]  Мне это не очень нравится.
[00:10:54 --> 00:10:57]  Поэтому я делаю все гораздо больше.
[00:11:16 --> 00:11:26]  Вот, как я здесь у меня подтягиваю.
[00:11:26 --> 00:11:27]  Попрощи.
[00:11:27 --> 00:11:29]  Вот такая история мне получается.
[00:11:29 --> 00:11:32]  Дальше Рыпка у нас с головой мы с вами помним.
[00:11:32 --> 00:11:34]  И сделали с головой.
[00:11:34 --> 00:11:36]  Пламеньчок немножко мы загнули.
[00:11:36 --> 00:11:37]  Мы сейчас убей ее.
[00:11:37 --> 00:11:38]  Обратно.
[00:11:38 --> 00:11:39]  Вот.
[00:11:39 --> 00:11:40]  Вот.
[00:11:40 --> 00:11:41]  Вот.
[00:11:41 --> 00:11:43]  Вот.
[00:11:43 --> 00:11:44]  Вот.
[00:11:44 --> 00:11:45]  Вот.
[00:11:45 --> 00:11:46]  Вот.
[00:11:46 --> 00:11:47]  Вот.
[00:11:47 --> 00:11:48]  Вот.
[00:11:48 --> 00:11:49]  Вот.
[00:11:49 --> 00:11:50]  Вот.
[00:11:50 --> 00:11:51]  Вот.
[00:11:51 --> 00:11:52]  Вот.
[00:11:52 --> 00:11:53]  Вот.
[00:11:53 --> 00:11:54]  Вот.
[00:11:54 --> 00:11:55]  Вот.
[00:11:55 --> 00:11:56]  Вот.
[00:11:56 --> 00:11:56]  Вот.
[00:11:57 --> 00:12:00]  Дальше, чтобы на с вами не хочется не передевать.
[00:12:00 --> 00:12:02]  28-18 я просто делаю.
[00:12:02 --> 00:12:05]  В противоположной стороны я завожу.
[00:12:05 --> 00:12:07]  И слегка подтягиваю.
[00:12:07 --> 00:12:08]  Это все очень просто.
[00:12:14 --> 00:12:16]  Видите, как у вас получается с вами.
[00:12:16 --> 00:12:20]  И есть еще один небольшой секрет.
[00:12:20 --> 00:12:22]  Он очень очень небольшой.
[00:12:22 --> 00:12:25]  Здесь, если вы помните, я оставил небольшой веревочку.
[00:12:25 --> 00:12:27]  Здесь я тоже сейчас сделаю.
[00:12:27 --> 00:12:28]  Узелал один.
[00:12:28 --> 00:12:31]  И сделаю небольшую петельку.
[00:12:31 --> 00:12:32]  Мы можем повесить через петельку.
[00:12:32 --> 00:12:34]  Но чтоб нам не тратить время и нервы.
[00:12:34 --> 00:12:35]  Можно сделать гораздо проще.
[00:12:35 --> 00:12:38]  Если на с вами петельку не делаем, мы просто рыбу.
[00:12:38 --> 00:12:40]  Подвешиваем.
[00:12:40 --> 00:12:41]  Через нашу веревочку.
[00:12:41 --> 00:12:44]  А поскольку у меня стол достаточно хорошая.
[00:12:44 --> 00:12:45]  Хорошая.
[00:12:45 --> 00:12:46]  Вот.
[00:12:46 --> 00:12:47]  Вот.
[00:12:47 --> 00:12:48]  Вот.
[00:12:48 --> 00:12:49]  Вот.
[00:12:49 --> 00:12:50]  Вот.
[00:12:50 --> 00:12:51]  Вот.
[00:12:51 --> 00:12:52]  Вот.
[00:12:52 --> 00:12:53]  Вот.
[00:12:53 --> 00:12:54]  Вот.
[00:12:54 --> 00:12:55]  Хороший.
[00:12:55 --> 00:12:59]  Пока я не повесил был гонсмотел, я могу просто сделать.
[00:12:59 --> 00:13:02]  Прибыла спиться, чтобы еще стекала лишнее влага.
[00:13:02 --> 00:13:04]  Итак, я займусь, остальное скумрейки.
[00:13:17 --> 00:13:18]  Прошло на 15 и так.
[00:13:18 --> 00:13:20]  В 18, чуть-чуть, первая загрузка.
[00:13:20 --> 00:13:21]  Она у меня готова.
[00:13:21 --> 00:13:24]  Каждый реп, когда 500-500-500-800-600 грамм.
[00:13:24 --> 00:13:26]  Итак, мы с вами очень легко.
[00:13:26 --> 00:13:28]  Можно посчитать сколько мы с вами сделаем.
[00:13:28 --> 00:13:29]  Два реп, да.
[00:13:29 --> 00:13:30]  Подъявит шту.
[00:13:30 --> 00:13:33]  Итак, давайте сейчас развешиваем нашу гонсмотел.
[00:13:33 --> 00:13:37]  Смотрите, я поправляю сразу, чтобы она не прикасала другу другом.
[00:13:37 --> 00:13:41]  Мне соприкасала со слокером, чтобы калер, цвет, два,
[00:13:41 --> 00:13:43]  чтобы у нас лёг одинаково.
[00:13:43 --> 00:13:44]  И она была красивая.
[00:13:51 --> 00:13:54]  Вкумблю мы с вами в поместере Бодовер смотрю.
[00:13:54 --> 00:13:56]  Она красивая, мариновая, соленая.
[00:13:56 --> 00:13:59]  Итак, мы помнивала, у нас есть два пермочу под пермочут камер,
[00:13:59 --> 00:14:01]  помнах, у нас будет на задней семьи.
[00:14:01 --> 00:14:03]  И пермочут продукта.
[00:14:03 --> 00:14:06]  Я его как правила и объясняю это уже ни раз мне.
[00:14:06 --> 00:14:09]  В самом ниже нет, я его вешал на среднюю полочку.
[00:14:09 --> 00:14:11]  И, в�ожу, очень-очень глубоко вкладывал вкумбле,
[00:14:11 --> 00:14:12]  а рыба очень деликатная.
[00:14:12 --> 00:14:14]  И готовить ее, и будем очень-очень нежно.
[00:14:14 --> 00:14:17]  И очень деликатная при помощи жарки.
[00:14:17 --> 00:14:19]  Но не высокой температуры.
[00:14:19 --> 00:14:23]  И так, если вы помните, у нас температура приготовления рыбы,
[00:14:23 --> 00:14:27]  внутри продуктов, внутри 60-3 градуса.
[00:14:27 --> 00:14:30]  Итак, давайте мы с вами попробуем включим.
[00:14:30 --> 00:14:34]  Дадим температуру градусов 50, и я на этом остановлюсь.
[00:14:34 --> 00:14:36]  50 градусов, когда будет старым осмоги.
[00:14:36 --> 00:14:40]  А, увидим, какая температура у нас внутри нашей вкумбле
[00:14:40 --> 00:14:42]  и дальше будем регулировать.
[00:14:42 --> 00:14:43]  Включаем кнопку.
[00:14:43 --> 00:14:46]  Сеть, заслонка у нас закрыта.
[00:14:46 --> 00:14:48]  Давайте включим.
[00:14:48 --> 00:14:50]  Свет, небольшой, что понадобилось было видно.
[00:14:50 --> 00:14:55]  И сделаем с вами температуру камеры на 50 градусов.
[00:14:55 --> 00:15:00]  Температуру продукта я поставлю на 63 градусов,
[00:15:00 --> 00:15:04]  поскольку готова рыба у нас 63 градусов.
[00:15:04 --> 00:15:08]  Чтобы на шускумбле готовить, деликат не нежно,
[00:15:08 --> 00:15:11]  я еще включим, и он будет не большой.
[00:15:14 --> 00:15:17]  Импульс я поставлю два шести.
[00:15:18 --> 00:15:23]  Температура в смогере у нас 50 градусов,
[00:15:23 --> 00:15:26]  и мы вспомним, что мы готовим очень, очень деликатно.
[00:15:26 --> 00:15:29]  Поэтому мы сейчас увеличим температуру на шускумбле.
[00:15:29 --> 00:15:34]  До 70 градусов, чтобы получить внутри продукта 63.
[00:15:37 --> 00:15:41]  Вот смотрите, 63 градусов рыба у нас целая.
