[00:00:00 --> 00:00:08]  Здравствуйте дорогие друзья!
[00:00:08 --> 00:00:13]  Я в Нурфа с приветствую на канале компании Позвусной компании
[00:00:13 --> 00:00:14]  Иженца.
[00:00:14 --> 00:00:21]  И сегодня мы продолжаем с вами работу по общению рыбы с посвем электростатики.
[00:00:21 --> 00:00:23]  То есть электростатистка, как общения.
[00:00:23 --> 00:00:28]  Ровно сутки назад мы с вами произвели посол с Кумбрии и Фариле,
[00:00:28 --> 00:00:30]  способом инектирования.
[00:00:30 --> 00:00:37]  И через это время 24 часа рыбков у нас полностью созрела и просолилась.
[00:00:37 --> 00:00:42]  Как вы видите с Кумбрии у нас имеет уже, абсолютно другую
[00:00:42 --> 00:00:47]  внешнервид, напомню, что я специально брал для демонстрации
[00:00:47 --> 00:00:49]  вам с Кумбрию.
[00:00:49 --> 00:00:51]  Несамого хорошего качества.
[00:00:51 --> 00:00:54]  То есть я вам хочу показать, что с помощью инектирования
[00:00:54 --> 00:00:58]  мы добиваемся очень хорошего, на торгового внешнего
[00:00:58 --> 00:00:59]  вида.
[00:00:59 --> 00:01:02]  Рыбков у нас вся плотненькая, видите без морщинок.
[00:01:02 --> 00:01:07]  Это все, благодаря способу посола, это инектирование.
[00:01:07 --> 00:01:12]  Сейчас мы с вами зависим на шускумбрым и посмотрим сколько
[00:01:12 --> 00:01:18]  процентов у нас рыба зела веса после посола способами
[00:01:18 --> 00:01:19]  инектирования.
[00:01:20 --> 00:01:22]  Для этого мы берем емкос.
[00:01:22 --> 00:01:24]  Мы будем.
[00:01:24 --> 00:01:35]  Рыбков лодненькая, созревше их хватает буквально сутки, чтобы
[00:01:35 --> 00:01:38]  набрать свой вкус.
[00:01:38 --> 00:01:44]  И того у нас 3335 грамм.
[00:01:44 --> 00:01:49]  Смотрим, сколько у нас было.
[00:01:49 --> 00:01:52]  У нас было 2 килограмма, 700, 200 килограмм.
[00:01:52 --> 00:01:59]  И того, мы получили порядка 12% на вскидочку, где-то 12%
[00:01:59 --> 00:02:02]  это очень хорошая результат у нас после посола.
[00:02:02 --> 00:02:05]  Я думаю, что при традиционном посоле то злышном.
[00:02:05 --> 00:02:07]  Вы не получите такого результата.
[00:02:07 --> 00:02:11]  Напомню, что рыбков у нас целилось все у сутки вместо традиционных
[00:02:11 --> 00:02:14]  трех или четверо суток.
[00:02:14 --> 00:02:17]  Поэтому на производстве это очень удобно.
[00:02:17 --> 00:02:21]  Это за мёд и меньше места ваших посолочных камер позволит более
[00:02:21 --> 00:02:25]  оперативно выдавать готовую продукцию.
[00:02:25 --> 00:02:26]  Это очень удобно.
[00:02:26 --> 00:02:31]  Теперь посмотрим, сколько у нас веси подняла.
[00:02:31 --> 00:02:36]  Наша морская форель посолная, опять же, способом и не
[00:02:36 --> 00:02:39]  нехтируем, использовали, напомню на горе, больше не
[00:02:39 --> 00:02:40]  ектор плашку.
[00:02:40 --> 00:02:45]  Значит, у нас 1 килограмм 25 грамм.
[00:02:45 --> 00:02:50]  Напомню, что у нас форель была 925 грамм.
[00:02:50 --> 00:02:58]  То есть не трудно посчитать, что здесь выход после посола
[00:02:58 --> 00:03:01]  составил 10% очень хорошая цифра.
[00:03:01 --> 00:03:03]  Я думаю, что не надо.
[00:03:03 --> 00:03:06]  Это все и нехтирует, негтор добивается.
[00:03:06 --> 00:03:07]  И 15%, 20%.
[00:03:07 --> 00:03:11]  Ну, напомню, это уже будет не особо качественно рыба, она
[00:03:11 --> 00:03:14]  уже будет течь приваку на его поковке.
[00:03:14 --> 00:03:19]  И ее подробительский свой, что качество просто ухудшится.
[00:03:19 --> 00:03:23]  А то, что рыбка взяла свои 10%, это очень хорошо, рыбка
[00:03:23 --> 00:03:25]  взяла свою влагу.
[00:03:25 --> 00:03:29]  Потому что во время промысла, во время разделки, она теряет
[00:03:29 --> 00:03:30]  дутрню влагу.
[00:03:30 --> 00:03:33]  Влагу сейчас опять забрался, что ее сфежили, она у нас
[00:03:33 --> 00:03:36]  молосольника и готова к общению.
[00:03:36 --> 00:03:39]  Вот такие цифры у нас получились после посола.
[00:03:39 --> 00:03:43]  Следующие этап это подготовка к общению.
[00:03:43 --> 00:03:47]  Рыба перетен, как ей коптиться, должна проти процесс
[00:03:47 --> 00:03:49]  подсушки или сушки.
[00:03:49 --> 00:03:54]  Процесс должен проходить при температуре от 20-24 градусов.
[00:03:54 --> 00:03:58]  Ну, на мой взгляд, самый идеальный температур, это 22-24 градусов.
[00:03:58 --> 00:04:01]  Это должен быть хороший воздушный теплый поток.
[00:04:01 --> 00:04:03]  Поднесение должно быть сухое.
[00:04:03 --> 00:04:07]  Сейчас мы выпьем на подсушку.
