[00:00:00 --> 00:00:02]  Попробратно.
[00:00:07 --> 00:00:08]  Мы прорабатываем каждую деталь.
[00:00:08 --> 00:00:10]  Точность для мелочей.
[00:00:10 --> 00:00:13]  Все это делается при помощи системы засловны.
[00:00:13 --> 00:00:16]  Сейчас мы покажем как это заслонка открывается.
[00:00:16 --> 00:00:18]  На 30% 60.
[00:00:18 --> 00:00:23]  Программа автоматически подбирает время паузы и время имбульса
[00:00:23 --> 00:00:26]  соответствия с текущей температурой в камере.
[00:00:26 --> 00:00:29]  На верху мы видим расположена 2 сетра.
[00:00:37 --> 00:00:40]  Добрый день меня зовут Роман Сакая, я имею из генненедейк.
[00:00:40 --> 00:00:43]  Кром компонижится и с нами сегодня наш главный конструктор.
[00:00:43 --> 00:00:45]  Сергей Шпилу.
[00:00:45 --> 00:00:46]  Здравствуйте!
[00:00:46 --> 00:00:50]  Сегодня мы расскажем про нашу линейку индустриальных камер под брендом варман.
[00:00:50 --> 00:00:53]  В нее входит камера UTR.
[00:00:53 --> 00:00:58]  Это классическая термокамера с функцией холодного копчения.
[00:00:58 --> 00:01:00]  С функцией охлаждения.
[00:01:00 --> 00:01:05]  Камера UTRM это самое простая универсальная термокамера,
[00:01:05 --> 00:01:08]  которая может производить копчу на вареные,
[00:01:08 --> 00:01:09]  и вареные копченные изделия.
[00:01:09 --> 00:01:14]  Вот так же проваривать продукцию парам, а также ее сушить.
[00:01:14 --> 00:01:18]  И третья камера, которая входит в эту линейку,
[00:01:18 --> 00:01:22]  это камеры СМДКВ это варочные камеры,
[00:01:22 --> 00:01:26]  которые могут производить на грех как острым парам,
[00:01:26 --> 00:01:29]  так и с помощью паровых регистров.
[00:01:29 --> 00:01:33]  И сегодня Сергей Шпилу в более подробно нам расскажет,
[00:01:33 --> 00:01:38]  про внутренней устройства камеры на дверамы с функцией холодного копчения.
[00:01:38 --> 00:01:50]  Почти давайте рассмотрим подробнее камеру UTR 500.
[00:01:50 --> 00:01:53]  Это двухрамные исполнения.
[00:01:53 --> 00:01:56]  Камера практически собренно сейчас монтировается.
[00:01:56 --> 00:01:58]  На нее не установлена фальшпанель,
