[00:00:00 --> 00:00:02]  У-а-у! У-а-у!
[00:00:10 --> 00:00:11]  У-а-а-а-а-а-н!
[00:00:21 --> 00:00:26]  Так...
[00:00:26 --> 00:00:28]  Нет-да!
[00:00:28 --> 00:00:30]  Вперед, выставь.
[00:00:31 --> 00:00:33]  Понял, понял?
[00:00:33 --> 00:00:35]  Понял, так, окрашивай.
[00:00:35 --> 00:00:36]  Угу.
[00:00:36 --> 00:00:38]  Все, все, все, окрашивай.
[00:00:38 --> 00:00:40]  Идиот, там все, все, все, все.
[00:00:40 --> 00:00:42]  Да, да, все пошло.
[00:00:58 --> 00:01:08]  Да, да, понял, ну, ну что?
[00:01:08 --> 00:01:12]  Свет, понял, что дело немножко?
[00:01:12 --> 00:01:16]  Ну, пока что ли хорошо, все, во-первых, сливец.
[00:01:16 --> 00:01:21]  Ну, сливец, ты и не уно бы все-таки не кажется перезомевает ли, сло.
[00:01:21 --> 00:01:26]  Я лучше здесь после ли, и сло, ну, давай.
[00:01:26 --> 00:01:36]  Понял, ну что ли?
[00:01:36 --> 00:01:40]  Понял, ну что ли?
[00:01:40 --> 00:01:42]  Я не знаю.
[00:01:42 --> 00:01:43]  Что вы здесь?
[00:01:43 --> 00:01:44]  Я знаю.
[00:01:44 --> 00:01:49]  Понял, ну что ли?
[00:01:49 --> 00:01:52]  Понял, ну что ли?
[00:01:52 --> 00:01:56]  Привайтесь, наскаться.
[00:01:56 --> 00:01:58]  Зарисно.
[00:02:06 --> 00:02:08]  Все, висит.
[00:02:09 --> 00:02:12]  Ладим, зави, посетим.
[00:02:22 --> 00:02:24]  Зарисно.
[00:02:32 --> 00:02:36]  Позвоните в ней, где я шипил. Если я хочу, какой-то.
[00:02:37 --> 00:02:40]  Высад включите в видеокайна ракс.
[00:02:40 --> 00:02:41]  Не могу.
[00:02:41 --> 00:02:42]  Выложить.
[00:02:42 --> 00:02:46]  Позвоните.
[00:02:52 --> 00:02:54]  Все, что я могу.
[00:03:00 --> 00:03:04]  Главное, как люди смотрят, я просто здесь смотрю.
[00:03:12 --> 00:03:24]  Друзья, друзья, здравствуйте.
[00:03:24 --> 00:03:26]  Мы не через 2 минут, например, начнем.
[00:03:26 --> 00:03:29]  Если есть какие-то конкретные сформулированные вопросы,
[00:03:29 --> 00:03:32]  вы их пишите с роликом «Коментарьях», и постараюсь на них подробно
[00:03:32 --> 00:03:35]  останавливаться через 2 минут, я расскажу о плане.
[00:03:35 --> 00:03:38]  Стрима от тех моментах, на которых боя хотела останавливаться.
[00:03:38 --> 00:03:41]  Вот мы, через 2 минут начнем.
[00:03:42 --> 00:03:44]  Друзья, друзья, друзья.
[00:03:52 --> 00:03:54]  Слушаем, если мы тоже наина.
[00:03:54 --> 00:03:56]  Паще.
[00:03:56 --> 00:03:58]  А где-то затость, я говорю.
[00:04:00 --> 00:04:03]  А где нас щек, мы с вотой, тоже мы с награми?
[00:04:03 --> 00:04:05]  Не мешаем.
[00:04:05 --> 00:04:06]  Ну, а.
[00:04:06 --> 00:04:08]  Как и покупать, а?
[00:04:08 --> 00:04:11]  Что насить все вообще?
[00:04:11 --> 00:04:13]  В чем-лигщества?
[00:04:13 --> 00:04:15]  Увязано.
[00:04:15 --> 00:04:17]  Как черное уり сгал?
[00:04:17 --> 00:04:19]  Увязано.
[00:04:19 --> 00:04:21]  Ага.
[00:04:21 --> 00:04:23]  Ох, я!
[00:04:25 --> 00:04:27]  Ага.
[00:04:27 --> 00:04:29]  Увязано.
[00:04:29 --> 00:04:31]  Увязано.
[00:04:31 --> 00:04:33]  Ага.
[00:04:33 --> 00:04:35]  Ага.
[00:04:35 --> 00:04:37]  Ага.
[00:04:37 --> 00:04:39]  Ох, чего вы lanк?
[00:04:39 --> 00:04:41]  Астракану.
[00:05:09 --> 00:05:27]  Стос, стас.
[00:05:27 --> 00:05:28]  Стос.
[00:05:28 --> 00:05:29]  Стос.
[00:05:29 --> 00:05:31]  Стос.
