[00:00:00 --> 00:00:06]  МУЗЫКАЛЬНАЯ ЗАСТАВКА
[00:00:06 --> 00:00:10]  У наших партнёских отношениях с компании Ижица.
[00:00:10 --> 00:00:13]  Мы создали адамизатор от 20-го сна килограмма.
[00:00:13 --> 00:00:18]  Немного расскажу о том, что такой жидкий ты и попробую как раз развеить мифта,
[00:00:18 --> 00:00:23]  потому что это опасно из дыма традиционного выделяется все тяжелые фракции.
[00:00:23 --> 00:00:29]  Я роман Роман Комбраков представляю компанию централ Футтрейт.
[00:00:29 --> 00:00:33]  С своей компании мы представляем торговую марку Клинс Моктих.
[00:00:33 --> 00:00:37]  Но, вот же, внутри этой торговой марки мы представляем,
[00:00:37 --> 00:00:41]  скажем так, достаточно широкий партнёд дымный концентратов.
[00:00:41 --> 00:00:46]  Возможно, что дымный концентрат звучит неизвестным словом,
[00:00:46 --> 00:00:50]  но, назовем это более, скажем так, известно, это жидкий дымый.
[00:00:50 --> 00:00:55]  Возможно, у кого-то есть своё, скажем так, сложившиеся негативные отношения
[00:00:55 --> 00:00:57]  по поводу этих продуктов.
[00:00:57 --> 00:01:05]  Я постараюсь, это негативное отношение с ломить, может быть, как-то попробовать из править эту ситуацию.
[00:01:05 --> 00:01:10]  Так вот, кратка себе, кратка о том, каким образом, мы дружим с компанией,
[00:01:10 --> 00:01:13]  и жится, как его на свыстроенные партнёские отношения.
[00:01:13 --> 00:01:19]  А себе могу сказать следующая достаточно длительная технологическая профессиональная путь.
[00:01:19 --> 00:01:26]  Я начинала с Клинского мяса комбината, поработал на крупных мясоперабатующих комплексах под Москве.
[00:01:26 --> 00:01:31]  Далее, моя, расскажем, так, карьерная судьба сложилась таким образом,
[00:01:31 --> 00:01:41]  что в 14-м 15-м году я пришел на работу в компании, у которой в России, так пропагандировала применение
[00:01:41 --> 00:01:46]  такой наационной технологии, как альтернативное копчение жидкими дымами.
[00:01:46 --> 00:01:51]  Мы прошли достаточно серьезные, большой путь, в продвижении данной технологии.
[00:01:51 --> 00:01:55]  И, естественно, могу сказать, честно, что она больше занимает долю именно,
[00:01:55 --> 00:02:00]  скажем так, в промышленном масштабе в большом объеме, в вашей среде отбитания,
[00:02:00 --> 00:02:04]  она тоже имеет место быть, но тем не менее, сейчас мы именно с компании,
[00:02:04 --> 00:02:11]  и жится, пытаемся ее адаптировать и оптимизировать, под те задачи, которые, скажем так,
[00:02:11 --> 00:02:18]  вы ищете и приследуют на своих продуктах о наших партнёских отношениях с компании Ижица.
[00:02:18 --> 00:02:23]  Скампаний Ижица мы создали адемиза отерп полностью автоматическую машину,
[00:02:23 --> 00:02:29]  которая, как раз, реализует возможность превращения и жидкой фракции жидкого дыма,
[00:02:29 --> 00:02:33]  в том, она образная, диспетственная состояния, которая наполняет камеру,
[00:02:33 --> 00:02:38]  и визуальная это никак не отличается от дыма, который вы видите предоедиционной,
[00:02:38 --> 00:02:44]  но, скажем так, дымы генерации традиционными машинами, отления или фрикционными.
[00:02:44 --> 00:02:54]  Машины называются в армонатомик 5, данную машину одну из июверси, ребята, смогли интегрировать в камеру,
[00:02:54 --> 00:03:01]  роман напомни, пожалуйста, мальше, это 15, это 15, это 15, это интересно для вашего сегмента,
[00:03:01 --> 00:03:06]  в том числе, потому что отомизацию можно использовать на маленькие камерых загрузкой,
[00:03:06 --> 00:03:13]  вот 20 до 100 килограмм. Наверное здесь больше, от 100 килограмм ближе, к 100 килограмм, да, если говорить
[00:03:13 --> 00:03:19]  честно за 115, как раз она в этом диапазоне, отста и более. Вот поэтому у нас такие достаточно
[00:03:19 --> 00:03:25]  дружеские на эти оплые отношения, мы заимодействуем с ребятами, пытаемся найти какие-то новые
[00:03:25 --> 00:03:32]  технологические технические, скажем так, решение по применению дымов. Немного расскажу о том,
[00:03:32 --> 00:03:38]  вообще что такое жидкий дым, как он производится и попробую как раз развеить миф, того, что это опасно,
[00:03:38 --> 00:03:44]  что это каким-то образом, да, там, гемким словом химоза. На самом деле, это совершенно не так,
[00:03:44 --> 00:03:52]  жидкий дымы, это достаточно старая технология, она была изобретена давным давно, но основное
[00:03:52 --> 00:04:00]  свое применение она получила в конце 50-х в США. Почему так, потому что на самом деле при производстве
[00:04:00 --> 00:04:08]  жидкого дыма из дыма традиционного, выделяется все тяжелые фракции. Смала, зала и другие, углявы дороды,
[00:04:08 --> 00:04:14]  может быть, какие-то другие вещества. Но самое главное, то, что в нем отсутствует бензоперен.
[00:04:14 --> 00:04:20]  Обензоперен является основным тригером развития раковых опухолевнутри организм человека. Поэтому,
[00:04:20 --> 00:04:27]  направительственного уровня в 50-х годах во многих штатах США все производственные процессы,
[00:04:27 --> 00:04:33]  вместо переработки глубокой, вместо переработки были выставлены уже на применении копчения с помощью дымных
[00:04:33 --> 00:04:42]  концентратов. Что еще хочу сказать, при мощности на самом деле, это технологии имеет массу. В первую очередь,
[00:04:42 --> 00:04:49]  это не только продуктовая безопасность, но и упрощения самого процесс копчения. Как раз, вот с помощью такой машины
[00:04:49 --> 00:04:54]  как отомизатор, который превращает и жидкий фракции генерирует в туманообразное состояние.
[00:04:54 --> 00:05:00]  Этот процесс копчения с применением дымных концентратов становится более управляемой, более простой.
[00:05:00 --> 00:05:05]  Потому что по сути, применяется энергия жатого воздуха, никакого нагрева,
[00:05:05 --> 00:05:15]  не каких, скажем так, механические работы внутри самой машины. Поэтому капля, которая взрывается,
[00:05:15 --> 00:05:23]  жатым воздухом внутри форсунки, выходит наружу уже в виде тумана, она более скажем так,
[00:05:23 --> 00:05:29]  лучше ложится на продукт, полученная, полученная дисперсия. Лучше ложится на продукт, соответственно,
[00:05:29 --> 00:05:35]  у нас, с время копчения сокращается. Не скажу, буду честно, не скажу, что это намного, но тем не менее,
[00:05:35 --> 00:05:42]  время сокращается, плюс ко всему учитывая, то, что копчения, альтернативным способом
[00:05:42 --> 00:05:48]  учедымных концентратов, проходят в более влажной среде, у нас получается термические потери,
[00:05:48 --> 00:05:56]  ну, скажем так более низкие, чем при традиционном, работке традиционным дымом. Также хочу отметить,
[00:05:56 --> 00:06:02]  что на самом деле применение дымных концентратов не ограничивается только использованием их в виде,
[00:06:02 --> 00:06:10]  скажем так, регенерации жидкого состояния в туман образное. Есть масса продуктов,
[00:06:10 --> 00:06:19]  которые, скажем так, являются носителями, на которые наносится ароматы дыма и в конечном счете мы получаем
[00:06:19 --> 00:06:26]  функциональные вещества, которые могут достаточно серьезно разнообразить в кусовой, в
[00:06:26 --> 00:06:34]  вкусовой восприятия продукта, то есть это можно применять в маринаде в соус, это можно применять в какие-то другие
[00:06:34 --> 00:06:41]  добавки, которые позволят получить продукты с заданными вкусовыми характеристиками направленными на
[00:06:41 --> 00:06:48]  вкуска общения, вкус гриля, вкус борбикиу. Это все как раз у нас вокруг этой технологии.
[00:06:48 --> 00:06:57]  Также хочется отметить, что технология не ограничивается применение мотомизации, и продукты меня,
[00:06:57 --> 00:07:02]  которых я сейчас говорил, у нас существует еще технология, скажем так, как у нания,
[00:07:02 --> 00:07:09]  да, в раствор жидкого дыма, у нас существует технология в миссии не внутрь фаршел или
[00:07:09 --> 00:07:16]  бы рассольной системы, то есть дополнительного ингредиента видит дыма, который нам позволит получить вкус достаточно яркий,
[00:07:16 --> 00:07:23]  контрастный внутрь продуктов готового продукта, поэтому очень широкий спектр применения данных
